game_number,game_id,round_number,round_points,round_winner_team,team1_before,team2_before,team1_after,team2_after,cards_played_count,cards_played
8,83A0F0,10,0,,97,23,97,23,4,S4:SOUTH:32 | E4:EAST:24 | N4:NORTH:21 | W4:WEST:3
9,E3967A,1,23,team2,0,0,0,23,4,S4:SOUTH:2 | E4:EAST:9 | N4:NORTH:5 | W4:WEST:8
9,E3967A,2,10,team2,0,23,0,33,4,E4:EAST:20 | N4:NORTH:21 | W4:WEST:28 | S4:SOUTH:22
9,E3967A,3,16,team1,0,33,16,33,4,W4:WEST:35 | S4:SOUTH:39 | E4:EAST:36 | N4:NORTH:32
9,E3967A,4,10,team2,16,33,16,43,4,S4:SOUTH:30 | E4:EAST:31 | N4:NORTH:33 | W4:WEST:38
9,E3967A,5,5,team1,16,43,21,43,4,W4:WEST:26 | S4:SOUTH:3 | E4:EAST:25 | N4:NORTH:24
9,E3967A,6,16,team1,21,43,37,43,3,S4:SOUTH:19 | E4:EAST:16 | N4:NORTH:15
9,E3967A,7,3,team2,37,43,37,46,4,S4:SOUTH:1 | E4:EAST:6 | N4:NORTH:23 | W4:WEST:0
9,E3967A,8,10,team1,37,46,47,46,4,E4:EAST:14 | N4:NORTH:18 | W4:WEST:10 | S4:SOUTH:13
9,E3967A,9,19,team2,47,46,47,65,4,N4:NORTH:29 | W4:WEST:27 | S4:SOUTH:37 | E4:EAST:4
9,E3967A,10,8,team1,47,65,55,65,4,E4:EAST:17 | N4:NORTH:12 | W4:WEST:34 | S4:SOUTH:7
10,C66282,1,5,team2,0,0,0,5,4,S4:SOUTH:24 | E4:EAST:26 | N4:NORTH:25 | W4:WEST:20
10,C66282,2,4,team1,0,5,4,5,3,E4:EAST:23 | N4:NORTH:27 | W4:WEST:22
10,C66282,3,15,team1,4,5,19,5,4,N4:NORTH:11 | W4:WEST:15 | S4:SOUTH:18 | E4:EAST:16
10,C66282,4,14,team1,19,5,33,5,4,S4:SOUTH:9 | E4:EAST:0 | N4:NORTH:3 | W4:WEST:6
10,C66282,5,11,team2,33,5,33,16,4,S4:SOUTH:34 | E4:EAST:39 | N4:NORTH:31 | W4:WEST:33
10,C66282,6,14,team1,33,16,47,16,4,E4:EAST:29 | N4:NORTH:12 | W4:WEST:2 | S4:SOUTH:36
